fetched_at,rank,status
2026-03-15 07:40:51,,captcha
2026-03-15 08:29:38,,captcha
2026-03-15 09:28:28,,captcha
2026-03-15 10:23:46,,captcha
2026-03-15 11:21:30,,captcha
2026-03-15 12:37:29,,captcha
2026-03-15 13:42:25,,captcha
2026-03-15 14:24:51,,captcha
2026-03-15 15:23:07,,captcha
2026-03-15 16:24:57,,captcha
2026-03-15 17:21:56,,captcha
2026-03-15 18:30:29,,rank_not_found
2026-03-15 19:23:07,,captcha
2026-03-15 20:21:42,,captcha
2026-03-15 21:22:46,,captcha
2026-03-15 22:21:05,,captcha
2026-03-15 23:23:20,,captcha
2026-03-16 01:51:51,,captcha
2026-03-16 04:35:41,,captcha
2026-03-16 06:16:44,,captcha
2026-03-16 08:04:51,,captcha
2026-03-16 09:59:28,,captcha
2026-03-16 10:59:32,,captcha
2026-03-16 11:51:47,,captcha
2026-03-16 12:56:58,,captcha
2026-03-16 14:20:46,,captcha
2026-03-16 16:00:01,,captcha
2026-03-16 17:11:52,,captcha
2026-03-16 18:53:36,,captcha
2026-03-16 19:50:32,,captcha
2026-03-16 20:32:00,,rank_not_found
2026-03-16 21:33:37,,captcha
2026-03-16 22:26:44,,captcha
2026-03-16 23:25:50,,captcha
2026-03-17 01:28:58,,rank_not_found
